time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,25-30,M,Y45-54,LV	51.2 	49 	50 	55 
2008,25-30,M,Y45-54,MT	47.5 	50.7 u	47 	42.9 u
2008,25-30,M,Y45-54,PL	50.1 	43.6 	50.1 	55.7 
2008,25-30,M,Y45-54,RO	58.1 	59.5 	57.4 	62.1 
2008,25-30,M,Y45-54,SI	56.5 	52.3 u	56.8 	60.8 u
2008,25-30,M,Y45-54,SK	53.6 	: 	52.7 	58.9 
2008,25-30,M,Y45-54,TR	47.2 	46.8 	46.3 	50.2 
2008,25-30,M,Y55-64,AT	50 	52.1 	50.2 	48.7 
2008,25-30,M,Y55-64,BE	47.7 	45.7 	45.7 	52.3 
2008,25-30,M,Y55-64,BG	52.3 	50.7 	52.8 	53.4 
2008,25-30,M,Y55-64,CY	52.9 	49 	60.4 	51.3 
2008,25-30,M,Y55-64,CZ	52.1 	: 	50.2 	67.7 u
2008,25-30,M,Y55-64,DE	50.1 	: c	50.5 	48.4 
2008,25-30,M,Y55-64,EE	41.7 	36.8 	42.6 	52.5 u
2008,25-30,M,Y55-64,EL	52.8 	46.5 	58.4 	59 
2008,25-30,M,Y55-64,ES	51.1 	48.9 	58.5 	51.5 
2008,25-30,M,Y55-64,FR	48.7 	49.5 	52.4 	39.4 
2008,25-30,M,Y55-64,HU	44.6 	40.9 	44 	49.7 
2008,25-30,M,Y55-64,LV	47.3 	44.3 	47.9 	51 
2008,25-30,M,Y55-64,MT	49.8 	49.1 u	50.5 	50 u
2008,25-30,M,Y55-64,PL	49.3 	43.9 	50.2 	52.9 
2008,25-30,M,Y55-64,RO	57.5 	51.4 	59.3 	63.1 
2008,25-30,M,Y55-64,SI	45.5 	48.2 u	42.3 	55.8 u
2008,25-30,M,Y55-64,SK	53.9 	44.8 u	52.6 	63.9 
2008,25-30,M,Y55-64,TR	44.9 	45 	44.3 	44.9 
2008,25-30,M,Y65-74,AT	53.4 	52.7 	55.5 	50.2 
2008,25-30,M,Y65-74,BE	50.8 	47.9 	49.2 	62.1 
2008,25-30,M,Y65-74,BG	49.2 	53.8 	41.7 	51.7 
2008,25-30,M,Y65-74,CY	48.5 	46.9 	47 	56.9 u
2008,25-30,M,Y65-74,CZ	53.7 	: 	59.2 	: 
2008,25-30,M,Y65-74,DE	52.2 	: c	56.2 	54.1 
2008,25-30,M,Y65-74,EE	42.3 	41.4 	44.8 	26.3 u
2008,25-30,M,Y65-74,EL	52.8 	53.1 	51.4 u	52.6 
2008,25-30,M,Y65-74,ES	51.7 	51.7 	49 	53.6 
2008,25-30,M,Y65-74,FR	47 	45.2 	52.7 	41.9 
2008,25-30,M,Y65-74,HU	39.9 	39.5 	41 	37.8 u
2008,25-30,M,Y65-74,LV	51.2 	50.8 	51.6 	51.5 u
2008,25-30,M,Y65-74,MT	46.7 u	47.4 u	43.9 u	50 u
2008,25-30,M,Y65-74,PL	50.3 	50.4 	50.2 	50.6 
2008,25-30,M,Y65-74,RO	54.4 	53.2 	55.7 	55.1 
2008,25-30,M,Y65-74,SI	52.5 	45.1 u	52.8 	: 
2008,25-30,M,Y65-74,SK	46.6 	37.9 u	48.3 	47.1 u
2008,25-30,M,Y65-74,TR	45.2 	46.1 	47.5 u	32.7 u
2008,25-30,M,Y75-84,AT	53.1 	58.6 	45.7 	58.7 
2008,25-30,M,Y75-84,BE	48.8 	45.2 	53.7 	54 
2008,25-30,M,Y75-84,BG	46.6 	45.4 	51.7 u	42.6 u
2008,25-30,M,Y75-84,CY	40.8 	42.4 	30.3 u	: 
2008,25-30,M,Y75-84,CZ	62.8 	: 	63.5 u	: 
2008,25-30,M,Y75-84,DE	50.9 	: c	51.5 	46.7 
2008,25-30,M,Y75-84,EE	43.5 	41.9 	45.8 	44.3 u
2008,25-30,M,Y75-84,EL	52.4 	50.3 	53 u	66.4 u
2008,25-30,M,Y75-84,ES	53 	52.6 	49.3 u	58.1 
2008,25-30,M,Y75-84,FR	45.7 	46.7 	49.4 	33.1 
2008,25-30,M,Y75-84,HU	40.8 	32.4 u	47.4 	42.4 u
2008,25-30,M,Y75-84,LV	54.5 	46.7 	64.1 u	: 
2008,25-30,M,Y75-84,MT	46.3 u	48.7 u	45 u	: 
2008,25-30,M,Y75-84,PL	50.3 	50.9 	55.6 	36.4 
2008,25-30,M,Y75-84,RO	48.1 	48 	44.9 	57.6 u
2008,25-30,M,Y75-84,SI	55.3 	: 	59.7 u	: 
2008,25-30,M,Y75-84,SK	48.2 	52.3 u	47.3 u	: 
2008,25-30,M,Y75-84,TR	40.8 u	40.5 u	: 	: 
2008,25-30,M,Y_GE85,AT	41 	50.8 u	30.9 u	: 
2008,25-30,M,Y_GE85,BE	34.9 	37.3 	30.6 	33 
2008,25-30,M,Y_GE85,BG	34.3 u	37.4 u	: 	: 
2008,25-30,M,Y_GE85,CY	29.3 u	32.6 u	: 	: 
2008,25-30,M,Y_GE85,DE	: c	: c	: c	: c
2008,25-30,M,Y_GE85,EL	49.5 	54.4 u	: 	: 
2008,25-30,M,Y_GE85,ES	43.8 	43.5 	: 	: 
2008,25-30,M,Y_GE85,FR	36.9 	40.8 	31.9 	22.7 u
2008,25-30,M,Y_GE85,HU	33.7 u	: 	: 	: 
2008,25-30,M,Y_GE85,PL	44.8 	40.4 	55.1 u	: 
2008,25-30,M,Y_GE85,RO	37.7 	41.3 u	: 	: 
2008,25-30,M,Y_GE85,TR	42.2 u	41.3 u	: 	: 
2008,25-30,T,TOTAL,AT	36.5 	41.4 	35 	35 
2008,25-30,T,TOTAL,BE	33.5 	37.1 	33.3 	30.4 
2008,25-30,T,TOTAL,BG	39.3 	41.3 	39.4 	35.5 
2008,25-30,T,TOTAL,CY	35.7 	40.1 	34 	32.5 
2008,25-30,T,TOTAL,CZ	38.3 	29.3 	40.2 	35.1 
2008,25-30,T,TOTAL,DE	36.3 	32.9 	37 	37.8 
2008,25-30,T,TOTAL,EE	32.5 	33.7 	32.8 	27.1 
2008,25-30,T,TOTAL,EL	38.7 	43.5 	33.8 	37.9 
2008,25-30,T,TOTAL,ES	37.3 	40 	35.6 	33.1 
2008,25-30,T,TOTAL,FR	31.4 	35.2 	32.2 	24.9 
2008,25-30,T,TOTAL,HU	34.9 	32.5 	37.4 	31 
2008,25-30,T,TOTAL,LV	38 	39.1 	38.6 	35.1 
2008,25-30,T,TOTAL,MT	36.8 u	41.3 u	35 	34.6 
2008,25-30,T,TOTAL,PL	37.6 	37.9 	38.7 	33.4 
2008,25-30,T,TOTAL,RO	42.4 	41.9 	42.8 	41.4 
2008,25-30,T,TOTAL,SI	39.8 	41.9 	40.4 	35.3 
2008,25-30,T,TOTAL,SK	35.6 	34.8 	36.5 	33 
2008,25-30,T,TOTAL,TR	34.4 	35.8 	28.3 	36.6 
2008,25-30,T,Y18-24,AT	15.9 	17.7 	15.3 	15.9 
2008,25-30,T,Y18-24,BE	13.4 	18 	13.6 	10.1 
2008,25-30,T,Y18-24,BG	15.4 	12.8 	16.5 	14.8 u
2008,25-30,T,Y18-24,CY	17.7 	27.4 	15.9 	17.1 
2008,25-30,T,Y18-24,CZ	20.2 	7.1 u	24.1 	: 
2008,25-30,T,Y18-24,DE	16.5 	15 	18 	: c
2008,25-30,T,Y18-24,EE	16 	14.9 	16.2 	17.7 
2008,25-30,T,Y18-24,EL	17.7 	16.5 	17.3 	20.5 
2008,25-30,T,Y18-24,ES	17.8 	17.6 	17.4 	18.9 
2008,25-30,T,Y18-24,FR	14.1 	12.4 	15.7 	11.5 
2008,25-30,T,Y18-24,HU	15.5 	14.9 	15.9 	13.5 u
2008,25-30,T,Y18-24,LV	15.8 	15 	17.6 	8.7 
2008,25-30,T,Y18-24,MT	25.4 	: 	25.7 	26.4 
2008,25-30,T,Y18-24,PL	18.4 	14.5 	20 	15.9 
2008,25-30,T,Y18-24,RO	17.1 	14.5 	18.1 	19.6 
2008,25-30,T,Y18-24,SI	23.3 	14.7 u	25.8 	: 
2008,25-30,T,Y18-24,SK	16.2 	13.9 	17.8 	11.1 
2008,25-30,T,Y18-24,TR	14.7 	16.2 	11.8 	21.9 
2008,25-30,T,Y25-34,AT	26.2 	37.2 	25 	23.4 
2008,25-30,T,Y25-34,BE	28.2 	29.2 	32.6 	24.9 
2008,25-30,T,Y25-34,BG	30 	36.9 	31 	21.6 
2008,25-30,T,Y25-34,CY	27.7 	36 	29.3 	23.5 
2008,25-30,T,Y25-34,CZ	33.3 	28.6 u	34.3 	31.4 
2008,25-30,T,Y25-34,DE	28.9 	: c	30.3 	26 
2008,25-30,T,Y25-34,EE	25.7 	34.9 	25.1 	19.2 
2008,25-30,T,Y25-34,EL	29.7 	32.4 	31.1 	25.9 
2008,25-30,T,Y25-34,ES	30.7 	32 	34.6 	26.7 
2008,25-30,T,Y25-34,FR	24.6 	21.5 	28 	22.4 
2008,25-30,T,Y25-34,HU	26.3 	22.7 	29.8 	20.6 
2008,25-30,T,Y25-34,LV	33.7 	39.9 	34.8 	27.5 
2008,25-30,T,Y25-34,MT	29.5 	45 u	29.6 	27 
2008,25-30,T,Y25-34,PL	31.4 	31.5 	35.1 	25.6 
2008,25-30,T,Y25-34,RO	34.9 	38.2 	35.4 	30.4 
2008,25-30,T,Y25-34,SI	31.1 	45.2 u	33.1 	21.4 
2008,25-30,T,Y25-34,SK	27.7 	: 	29.3 	23.1 
2008,25-30,T,Y25-34,TR	30.6 	30.4 	33.1 	26.9 
2008,25-30,T,Y35-44,AT	35.7 	41.7 	35.6 	32.9 
2008,25-30,T,Y35-44,BE	30.6 	33.3 	33.2 	27.2 
2008,25-30,T,Y35-44,BG	37.7 	40.5 	40.1 	28.5 
2008,25-30,T,Y35-44,CY	35.4 	33.4 	35.7 	36.3 
2008,25-30,T,Y35-44,CZ	32.1 	: 	32.5 	31.6 u
2008,25-30,T,Y35-44,DE	36.1 	39.2 	36 	35 
2008,25-30,T,Y35-44,EE	34.6 	36.7 	35.5 	26.6 
2008,25-30,T,Y35-44,EL	36.9 	44.2 	35.9 	32.4 
2008,25-30,T,Y35-44,ES	36.5 	39 	37.6 	32.3 
2008,25-30,T,Y35-44,FR	29.6 	34.1 	31.4 	24.4 
2008,25-30,T,Y35-44,HU	36.8 	34.7 	39.7 	30.9 
2008,25-30,T,Y35-44,LV	42.5 	44.2 	43.6 	39.4 
2008,25-30,T,Y35-44,MT	37.8 	53.9 u	36.4 u	38.3 
2008,25-30,T,Y35-44,PL	39.2 	40.7 	41.2 	32.7 
2008,25-30,T,Y35-44,RO	44.9 	43.3 	45.9 	40.5 
2008,25-30,T,Y35-44,SI	41.1 	39.5 u	44.9 	33.1 
2008,25-30,T,Y35-44,SK	35.2 	: 	35.9 	33.5 
2008,25-30,T,Y35-44,TR	42.1 	41.4 	39.8 	50 
2008,25-30,T,Y45-54,AT	42 	44 	44 	36.9 
2008,25-30,T,Y45-54,BE	35.7 	38 	34.3 	34.6 
2008,25-30,T,Y45-54,BG	47.1 	49.1 	47.9 	42.9 
2008,25-30,T,Y45-54,CY	40.4 	38.4 	41.1 	41.5 
2008,25-30,T,Y45-54,CZ	46.5 	36.3 u	48.7 	30 u
2008,25-30,T,Y45-54,DE	38 	37.6 	37.2 	40.1 
2008,25-30,T,Y45-54,EE	37 	35.6 	37.6 	34.6 
2008,25-30,T,Y45-54,EL	43.5 	43 	37.2 	50.5 
2008,25-30,T,Y45-54,ES	41.1 	42.4 	41.9 	37.9 
2008,25-30,T,Y45-54,FR	35.2 	36.7 	36 	31.6 
2008,25-30,T,Y45-54,HU	37.6 	27.9 	40.2 	37.1 
2008,25-30,T,Y45-54,LV	42.4 	48.5 	40.3 	43.3 
2008,25-30,T,Y45-54,MT	43.4 u	48.7 u	41.2 	40.7 
2008,25-30,T,Y45-54,PL	42.7 	40.5 	43.1 	42.3 
2008,25-30,T,Y45-54,RO	52.2 	49 	52.3 	58.1 
2008,25-30,T,Y45-54,SI	45.4 	45.4 	46.8 	40.8 
2008,25-30,T,Y45-54,SK	43.7 	36.4 u	43.1 	48.4 
2008,25-30,T,Y45-54,TR	43.6 	42.9 	43.4 	48.8 
2008,25-30,T,Y55-64,AT	44.4 	43.1 	44.4 	45.6 
2008,25-30,T,Y55-64,BE	40.6 	41.5 	36.9 	42.8 
2008,25-30,T,Y55-64,BG	49.1 	49 	50.4 	45.2 
2008,25-30,T,Y55-64,CY	46.6 	45.1 	50.2 	44.9 
2008,25-30,T,Y55-64,CZ	47.4 	38.9 	49 	46.7 u
2008,25-30,T,Y55-64,DE	42.2 	38.9 	42.8 	42.9 
2008,25-30,T,Y55-64,EE	37.5 	28.3 	40.7 	36.7 
2008,25-30,T,Y55-64,EL	47.9 	46.9 	49.7 	48.5 
2008,25-30,T,Y55-64,ES	45.1 	45.3 	45.1 	44.5 
2008,25-30,T,Y55-64,FR	40.2 	41 	44 	30.8 
2008,25-30,T,Y55-64,HU	43.8 	32.1 	48.2 	44.6 
2008,25-30,T,Y55-64,LV	44.1 	43.9 	46.2 	38.3 
2008,25-30,T,Y55-64,MT	40.9 u	39 u	42.2 	46.8 
2008,25-30,T,Y55-64,PL	43.6 	37.8 	44.7 	48 
2008,25-30,T,Y55-64,RO	52.7 	49.8 	54.6 	54.2 
2008,25-30,T,Y55-64,SI	43.0 	45.1 	42.5 	40.4 u
2008,25-30,T,Y55-64,SK	45.8 	37.8 	46.8 	46.3 
2008,25-30,T,Y55-64,TR	42.2 	42 u	43.6 	43.2 
2008,25-30,T,Y65-74,AT	48.6 	47.4 	50.4 	46.7 
2008,25-30,T,Y65-74,BE	43.5 	40.8 	45.8 	49.6 
2008,25-30,T,Y65-74,BG	49.3 	49.3 	47.5 	54.1 
2008,25-30,T,Y65-74,CY	46.3 	45.8 	44.3 	54.1 
2008,25-30,T,Y65-74,CZ	44.7 	30.4 	48.6 	: 
2008,25-30,T,Y65-74,DE	45 	35.8 	48.7 	48.4 
2008,25-30,T,Y65-74,EE	39.6 	43.1 	38 	31.5 
2008,25-30,T,Y65-74,EL	48 	46 	54 	53.4 
2008,25-30,T,Y65-74,ES	47.1 	47.5 	43.5 	48.4 
2008,25-30,T,Y65-74,FR	39.3 	39 	43.5 	30.8 
2008,25-30,T,Y65-74,HU	43.6 	44.2 	46 	35.5 
2008,25-30,T,Y65-74,LV	45.7 	43.7 	49 	42.6 
2008,25-30,T,Y65-74,MT	41 u	41.2 u	37.3 	50 u
2008,25-30,T,Y65-74,PL	46.1 	46.6 	45.5 	46.6 
2008,25-30,T,Y65-74,RO	50.2 	49.8 	50.3 	54.1 
2008,25-30,T,Y65-74,SI	49.4 	53.4 	46.6 	47.6 u
2008,25-30,T,Y65-74,SK	44 	37.7 	45.4 	50.8 
2008,25-30,T,Y65-74,TR	42.7 u	43 u	42.6 u	34.5 u
2008,25-30,T,Y75-84,AT	47 	49.6 	42.8 	48.3 
2008,25-30,T,Y75-84,BE	40.6 	40 	42.7 	42.3 
2008,25-30,T,Y75-84,BG	44.2 	40.7 	50.4 	48.9 u
2008,25-30,T,Y75-84,CY	37 	38 	25.5 	54.6 u
2008,25-30,T,Y75-84,CZ	52.6 	47.3 	59.3 	: 
2008,25-30,T,Y75-84,DE	44.2 	43.8 	45.6 	41.6 
2008,25-30,T,Y75-84,EE	40.8 	41 	40.3 	41.4 
2008,25-30,T,Y75-84,EL	47.6 	46.6 	44.9 	64.1 
2008,25-30,T,Y75-84,ES	46.6 	46.1 	43 	56.7 
2008,25-30,T,Y75-84,FR	37.9 	38.6 	38.7 	28.9 
2008,25-30,T,Y75-84,HU	40.3 	38.3 	45.2 	39.4 u
2008,25-30,T,Y75-84,LV	44.9 	46 	46.4 	37.2 
2008,25-30,T,Y75-84,MT	36.8 u	37.6 u	32.4 u	: 
2008,25-30,T,Y75-84,PL	45.2 	45.2 	47.6 	36.8 
2008,25-30,T,Y75-84,RO	38.5 	37.4 	40.9 	46.2 
2008,25-30,T,Y75-84,SI	49.8 	40.6 	55.1 u	: 
2008,25-30,T,Y75-84,SK	48.5 	52.7 	45.8 	: 
2008,25-30,T,Y75-84,TR	35.6 u	35.7 u	: 	: 
2008,25-30,T,Y_GE85,AT	32.9 	34.2 	26.1 	39.4 u
2008,25-30,T,Y_GE85,BE	32 	33.6 	28.1 	28.2 
2008,25-30,T,Y_GE85,BG	26.3 	31.8 	: 	: 
2008,25-30,T,Y_GE85,CY	29.1 	31.1 	: 	: 
2008,25-30,T,Y_GE85,CZ	46.2 u	: 	: 	: 
2008,25-30,T,Y_GE85,DE	31.2 	: c	: c	: c
2008,25-30,T,Y_GE85,EE	23.5 u	: 	: 	: 
2008,25-30,T,Y_GE85,EL	45.8 	49.4 	: 	: 
2008,25-30,T,Y_GE85,ES	38.5 u	39.2 u	44.4 u	27.1 u
2008,25-30,T,Y_GE85,FR	29 	30.9 	23.6 	19.2 
2008,25-30,T,Y_GE85,HU	30.7 	25.7 	: 	: 
2008,25-30,T,Y_GE85,LV	38.6 	29.8 u	: 	: 
2008,25-30,T,Y_GE85,PL	38.8 	38.8 	40.1 	33.7 u
2008,25-30,T,Y_GE85,RO	32 u	32.2 u	22.8 u	: 
2008,25-30,T,Y_GE85,SK	45.6 u	27.6 u	: 	: 
2008,25-30,T,Y_GE85,TR	41.6 u	44.2 u	: 	: 
2008,GE30,F,TOTAL,AT	13.2 	20.9 	10.4 	8.3 
2008,GE30,F,TOTAL,BE	14.7 	21.2 	14.6 	7.7 
2008,GE30,F,TOTAL,BG	11.3 	14 	11.5 	6.9 
2008,GE30,F,TOTAL,CY	14.5 	23.6 	10.8 	7.1 
2008,GE30,F,TOTAL,CZ	18.3 	28 	16.9 	12.5 
2008,GE30,F,TOTAL,DE	15.6 	21.9 	14.7 	8.8 
2008,GE30,F,TOTAL,EE	20.5 	27.4 	19.9 	11.2 
2008,GE30,F,TOTAL,EL	17.6 	25.2 	13.5 	8.4 
2008,GE30,F,TOTAL,ES	14.4 	21.1 	8.3 	6 
2008,GE30,F,TOTAL,FR	12.7 	18.7 	11.3 	5.5 
2008,GE30,F,TOTAL,HU	18.8 	26.9 	16.1 	13.5 
2008,GE30,F,TOTAL,LV	20.9 	24.1 	22 	15.9 
2008,GE30,F,TOTAL,MT	21.1 u	30.5 u	18.1 	11.7 
2008,GE30,F,TOTAL,PL	15.8 	24.8 	15.4 	7.2 
2008,GE30,F,TOTAL,RO	8 	9 	7.9 	5 
2008,GE30,F,TOTAL,SI	16.3 	25.9 	14.3 	7.2 
2008,GE30,F,TOTAL,SK	15.7 	28.2 	15 	8.8 
2008,GE30,F,TOTAL,TR	19.8 u	24.2 u	6.6 	7.1 
2008,GE30,F,Y18-24,AT	4.7 	8.1 	3.3 	5.7 
2008,GE30,F,Y18-24,BE	5.4 	4.4 	6.7 	4.8 
2008,GE30,F,Y18-24,BG	1 	1.3 	0.9 	: 
2008,GE30,F,Y18-24,CY	1.7 	2.2 u	2.4 	: 
2008,GE30,F,Y18-24,CZ	4.8 	6 u	5.3 	: 
2008,GE30,F,Y18-24,DE	: c	: c	: c	: c
2008,GE30,F,Y18-24,EE	3.7 	5.4 	3.2 	3.4 u
2008,GE30,F,Y18-24,EL	3.2 	: 	4.7 	0.6 u
2008,GE30,F,Y18-24,ES	3.9 	6 	2.6 	2.7 
2008,GE30,F,Y18-24,FR	4.3 	9.8 	3.5 	2 
2008,GE30,F,Y18-24,HU	3 	2.3 	3.8 	: 
2008,GE30,F,Y18-24,LV	1.7 	1.8 	1.7 	1.6 
2008,GE30,F,Y18-24,MT	10.7 	: 	9.7 	10 
2008,GE30,F,Y18-24,PL	2.1 	0.7 	2.4 	2.1 
2008,GE30,F,Y18-24,RO	1.6 	1.1 	2 	: 
2008,GE30,F,Y18-24,SI	4.0 	8.0 u	3.2 	: 
2008,GE30,F,Y18-24,SK	1.3 	2.2 	0.9 	1.9 
2008,GE30,F,Y18-24,TR	3.5 	5.2 u	0.8 	1.7 
2008,GE30,F,Y25-34,AT	7.6 	15.4 	6.8 	4.8 
2008,GE30,F,Y25-34,BE	9.1 	17 	9.4 	5.8 
2008,GE30,F,Y25-34,BG	4.9 	1.8 	6.5 	4.7 
2008,GE30,F,Y25-34,CY	7.1 	16.3 	6.5 	5.4 
2008,GE30,F,Y25-34,CZ	5.8 	: 	3.6 	9.2 u
2008,GE30,F,Y25-34,DE	12.2 	: c	12.9 	: c
2008,GE30,F,Y25-34,EE	8 	12.8 	7.7 	5.9 
2008,GE30,F,Y25-34,EL	5.8 	9.4 	7 	2.4 
2008,GE30,F,Y25-34,ES	7.1 	13.4 	6.7 	3 
2008,GE30,F,Y25-34,FR	9.4 	17.3 	12.3 	4.8 
2008,GE30,F,Y25-34,HU	8.3 	15.1 u	9.5 	4.3 
2008,GE30,F,Y25-34,LV	4.5 	3.7 	6.9 	2.1 
2008,GE30,F,Y25-34,MT	15.2 	: 	19.4 	6 
2008,GE30,F,Y25-34,PL	5.3 	11.5 	6.4 	3.2 
2008,GE30,F,Y25-34,RO	2.5 	0.7 	3.4 	1.2 
2008,GE30,F,Y25-34,SI	6.6 	: 	7.2 	2.9 
2008,GE30,F,Y25-34,SK	4.3 	: 	4.8 	2.6 
2008,GE30,F,Y25-34,TR	10.4 	13.6 u	5.1 	3.4 
2008,GE30,F,Y35-44,AT	9.7 	16.2 	9.5 	5.6 
2008,GE30,F,Y35-44,BE	13.7 	22.2 	18.8 	7.6 
2008,GE30,F,Y35-44,BG	8.4 	12.8 	8.6 	6.1 
2008,GE30,F,Y35-44,CY	11.5 	17.3 	11.6 	7.4 
2008,GE30,F,Y35-44,CZ	15.7 	: 	16.5 	: 
2008,GE30,F,Y35-44,DE	11.8 	: c	11.3 	6.4 
2008,GE30,F,Y35-44,EE	12.2 	21.2 u	11.7 	10.6 
2008,GE30,F,Y35-44,EL	12.3 	12.9 	14.1 	8.8 
2008,GE30,F,Y35-44,ES	11.3 	17.1 	10.7 	6.1 
2008,GE30,F,Y35-44,FR	11.4 	20 	11.4 	6.5 
2008,GE30,F,Y35-44,HU	17.7 	16.9 	19.5 	15 
2008,GE30,F,Y35-44,LV	14.7 	9.5 u	17.1 	12.7 
2008,GE30,F,Y35-44,MT	16 u	: 	17.7 u	13.2 u
2008,GE30,F,Y35-44,PL	10.1 	19.3 	10.6 	6.4 
2008,GE30,F,Y35-44,RO	5.9 	5.5 	5.9 	5.9 
2008,GE30,F,Y35-44,SI	13.4 	18.5 u	15.1 	8.7 
2008,GE30,F,Y35-44,SK	11.9 	: 	13.5 	6.9 
2008,GE30,F,Y35-44,TR	24.4 	27.8 u	13.2 	8.7 
2008,GE30,F,Y45-54,AT	14.2 	24.7 	10.9 	8.5 
2008,GE30,F,Y45-54,BE	13.9 	23.1 	12.3 	5.5 
2008,GE30,F,Y45-54,BG	10.6 	15.3 	11.2 	5.7 
2008,GE30,F,Y45-54,CY	17.2 	22.4 	14.2 	15.1 
2008,GE30,F,Y45-54,CZ	20.2 	: 	22.2 	: 
2008,GE30,F,Y45-54,DE	15.7 	: c	16.5 	8.4 
2008,GE30,F,Y45-54,EE	24.4 	33.1 	24.3 	16.3 
2008,GE30,F,Y45-54,EL	22.8 	27.8 	21.1 	16.7 
2008,GE30,F,Y45-54,ES	14.6 	19.8 	11.3 	7.5 
2008,GE30,F,Y45-54,FR	12.7 	20.2 	11.2 	4.6 
2008,GE30,F,Y45-54,HU	23.2 	36 	20.6 	17.2 
2008,GE30,F,Y45-54,LV	26.9 	23.3 	30.9 	20.4 
2008,GE30,F,Y45-54,MT	21.2 u	28.7 u	18 u	16.7 u
2008,GE30,F,Y45-54,PL	17.9 	22.5 	19.4 	9.3 
2008,GE30,F,Y45-54,RO	13.3 	15.1 	13.4 	7.2 
2008,GE30,F,Y45-54,SI	19.5 	43.6 	12.9 	8.9 u
2008,GE30,F,Y45-54,SK	17 	44.1 u	15.5 	11.7 
2008,GE30,F,Y45-54,TR	34.2 u	38.2 u	16.9 	13.4 
2008,GE30,F,Y55-64,AT	22.6 	31.9 	18.5 	14.5 
2008,GE30,F,Y55-64,BE	21.1 	23.8 	22.5 	14 
2008,GE30,F,Y55-64,BG	18.4 	19.8 	19.7 	12.7 
2008,GE30,F,Y55-64,CY	22.8 	27.7 	18.7 	4 
2008,GE30,F,Y55-64,CZ	29.3 	40.3 u	24.9 	: 
2008,GE30,F,Y55-64,DE	21.5 	: c	21.5 	13.5 
2008,GE30,F,Y55-64,EE	37.7 	51.4 	36 	20.6 u
2008,GE30,F,Y55-64,EL	26.6 	28.4 	28.4 	15.4 
2008,GE30,F,Y55-64,ES	20.2 	24.9 	8.1 	13.2 
2008,GE30,F,Y55-64,FR	17.8 	20.5 	18.4 	9.6 
2008,GE30,F,Y55-64,HU	27.5 	37.3 	22.5 	27.3 
2008,GE30,F,Y55-64,LV	35.9 	28.2 	37.6 	38 
2008,GE30,F,Y55-64,MT	28.7 u	30.7 u	25.6 	26.3 u
2008,GE30,F,Y55-64,PL	28.4 	39.6 	27 	14.9 
2008,GE30,F,Y55-64,RO	14.1 	13.2 	16.1 	9.8 
2008,GE30,F,Y55-64,SI	28.0 	34.4 	26.6 	15.4 u
2008,GE30,F,Y55-64,SK	30.7 	44.9 u	30.7 	19.9 
2008,GE30,F,Y55-64,TR	35.4 u	37.9 u	15.3 u	15.2 u
2008,GE30,F,Y65-74,AT	19.6 	25.6 	12.9 	15.3 
2008,GE30,F,Y65-74,BE	21.5 	25.7 	15.2 	17.2 
2008,GE30,F,Y65-74,BG	18.9 	18.4 	22.3 	9.9 
2008,GE30,F,Y65-74,CY	26.6 	28.6 	19.4 	: 
2008,GE30,F,Y65-74,CZ	35.9 	36.5 u	36.2 	: 
2008,GE30,F,Y65-74,DE	21.7 	28.4 	17.8 	13.5 
2008,GE30,F,Y65-74,EE	33.8 	34.2 	36 	15.1 u
2008,GE30,F,Y65-74,EL	32.4 	36.2 	20.9 	10.8 u
2008,GE30,F,Y65-74,ES	26.8 	28.8 	12.9 	20.3 
2008,GE30,F,Y65-74,FR	17.8 	20.7 	13.3 	8.6 
2008,GE30,F,Y65-74,HU	26 	31.8 	19.6 	17.6 u
2008,GE30,F,Y65-74,LV	35.3 	42.7 	30.4 	27.6 
2008,GE30,F,Y65-74,MT	31.9 u	34.9 u	23.1 u	: 
2008,GE30,F,Y65-74,PL	27.6 	29.4 	27.7 	19 
2008,GE30,F,Y65-74,RO	10.8 	11 	10.1 	12.9 u
2008,GE30,F,Y65-74,SI	24.2 	23.8 	27.7 u	: 
2008,GE30,F,Y65-74,SK	33.7 	41.1 	30.8 	21.5 u
2008,GE30,F,Y65-74,TR	33.4 u	33.8 u	: 	: 
2008,GE30,F,Y75-84,AT	17.8 	17.2 	17.6 	24.1 u
2008,GE30,F,Y75-84,BE	19.6 	21 	18.4 	11.7 u
2008,GE30,F,Y75-84,BG	16.9 	18.5 	14.4 	: 
2008,GE30,F,Y75-84,CY	22.9 	23.5 	19.4 u	: 
2008,GE30,F,Y75-84,CZ	22.9 	35.1 u	16.1 	: 
2008,GE30,F,Y75-84,DE	21.4 	: c	19.7 	: c
2008,GE30,F,Y75-84,EE	23.8 	23.3 	25 	: 
2008,GE30,F,Y75-84,EL	21.9 	23.1 	15.2 u	12.1 u
2008,GE30,F,Y75-84,ES	25.5 u	26.8 u	13.6 	11.8 u
2008,GE30,F,Y75-84,FR	16.5 	17.9 	12.2 	4.4 
2008,GE30,F,Y75-84,HU	24.5 	27.5 	14.1 	: 
2008,GE30,F,Y75-84,LV	29.2 	27.2 	30.2 	34.4 u
2008,GE30,F,Y75-84,MT	29.9 u	32.3 u	21.4 u	: 
2008,GE30,F,Y75-84,PL	22.5 	23.8 	21.8 	11 
2008,GE30,F,Y75-84,RO	8.5 	8.2 	9.1 	13.2 u
