time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,18P5-25,F,Y65-74,BG	31 	34.5 	25.3 	33.1 
2008,18P5-25,F,Y65-74,CY	28.8 	26.3 	38.2 	: 
2008,18P5-25,F,Y65-74,CZ	24.1 	30.9 u	21.6 	: 
2008,18P5-25,F,Y65-74,DE	37.7 	32.7 	39.4 	49.4 
2008,18P5-25,F,Y65-74,EE	27 	20.5 	28.7 	50.7 u
2008,18P5-25,F,Y65-74,EL	22.9 	22.5 	22.4 	28.2 u
2008,18P5-25,F,Y65-74,ES	29.7 	26.6 	48.9 	41.2 
2008,18P5-25,F,Y65-74,FR	46.7 	42.6 	48.5 	75.6 
2008,18P5-25,F,Y65-74,HU	26.3 	20.3 	26.6 	48.6 u
2008,18P5-25,F,Y65-74,LV	21.2 	17.1 	21.4 	32.9 
2008,18P5-25,F,Y65-74,MT	31.9 u	27.4 u	50 u	: 
2008,18P5-25,F,Y65-74,PL	28.4 	24.8 	30.2 	37.9 
2008,18P5-25,F,Y65-74,RO	41.1 	39.9 	45.5 	34.4 u
2008,18P5-25,F,Y65-74,SI	29.0 	20.5 	34.4 u	: 
2008,18P5-25,F,Y65-74,SK	23.8 	21.3 	25.6 	22.5 u
2008,18P5-25,F,Y65-74,TR	24.3 u	23.7 u	: 	: 
2008,18P5-25,F,Y75-84,AT	37.7 	35.3 	40.5 	45.9 u
2008,18P5-25,F,Y75-84,BE	41.9 	38.6 	42.8 	57 u
2008,18P5-25,F,Y75-84,BG	38.9 	41.6 	34.7 	: 
2008,18P5-25,F,Y75-84,CY	40.3 	38.8 	58.1 u	: 
2008,18P5-25,F,Y75-84,CZ	30.6 	29.3 u	27.2 	: 
2008,18P5-25,F,Y75-84,DE	36.9 	: c	40.3 	50.6 
2008,18P5-25,F,Y75-84,EE	35 	33.6 	36.5 	: 
2008,18P5-25,F,Y75-84,EL	33.3 	31.8 	47.2 u	28.9 u
2008,18P5-25,F,Y75-84,ES	31.7 u	30.4 u	49.7 	34.6 u
2008,18P5-25,F,Y75-84,FR	46.6 	44.8 	50.7 	65.6 
2008,18P5-25,F,Y75-84,HU	34 	30.6 	42.8 	: 
2008,18P5-25,F,Y75-84,LV	28.9 	25.3 	30.1 	39.9 u
2008,18P5-25,F,Y75-84,MT	37.7 u	32.3 u	64.3 u	: 
2008,18P5-25,F,Y75-84,PL	33.5 	32.6 	32.4 	48.8 
2008,18P5-25,F,Y75-84,RO	57.1 	58.4 	50 	58.1 u
2008,18P5-25,F,Y75-84,SI	34.8 	38.8 	: 	: 
2008,18P5-25,F,Y75-84,SK	27.3 	24.1 	32 	: 
2008,18P5-25,F,Y75-84,TR	46 u	46.2 u	: 	: 
2008,18P5-25,F,Y_GE85,AT	57.3 	55.1 	63.6 u	: 
2008,18P5-25,F,Y_GE85,BE	54.2 	53.7 	56.6 	54.3 
2008,18P5-25,F,Y_GE85,BG	76.2 u	72.8 u	: 	: 
2008,18P5-25,F,Y_GE85,CY	43 u	44.5 u	: 	: 
2008,18P5-25,F,Y_GE85,CZ	26.5 u	: 	: 	: 
2008,18P5-25,F,Y_GE85,DE	53.4 	: c	: c	: c
2008,18P5-25,F,Y_GE85,EL	45.8 	45 	: 	: 
2008,18P5-25,F,Y_GE85,ES	41.7 u	39.3 u	: 	: 
2008,18P5-25,F,Y_GE85,FR	55.5 	52.8 	63.2 	83.1 u
2008,18P5-25,F,Y_GE85,HU	55.3 	55.4 u	: 	: 
2008,18P5-25,F,Y_GE85,LV	44.3 	42.7 u	: 	: 
2008,18P5-25,F,Y_GE85,PL	44 	39.9 	61.3 	: 
2008,18P5-25,F,Y_GE85,RO	67.8 u	68.1 u	: 	: 
2008,18P5-25,F,Y_GE85,SK	41.9 u	55.8 u	: 	: 
2008,18P5-25,F,Y_GE85,TR	48.5 u	45 u	: 	: 
2008,18P5-25,M,TOTAL,AT	42.8 	37.5 	44.3 	43 
2008,18P5-25,M,TOTAL,BE	44.5 	40.2 	44.4 	48.9 
2008,18P5-25,M,TOTAL,BG	41.1 	44.4 	40.9 	35.9 
2008,18P5-25,M,TOTAL,CY	38.3 	34.2 	41.8 	37.9 
2008,18P5-25,M,TOTAL,CZ	33.9 	49.9 	31.3 	39.7 
2008,18P5-25,M,TOTAL,DE	39.1 	43.9 	37.2 	40.2 
2008,18P5-25,M,TOTAL,EE	44 	47.2 	42.9 	42.1 
2008,18P5-25,M,TOTAL,EL	35.4 	31.9 	39.1 	35.6 
2008,18P5-25,M,TOTAL,ES	36.8 	33.1 	40.1 	41.4 
2008,18P5-25,M,TOTAL,FR	47.8 	40.7 	47.8 	56.9 
2008,18P5-25,M,TOTAL,HU	37.7 	40.5 	36.3 	39.9 
2008,18P5-25,M,TOTAL,LV	42.9 	45.2 	43.4 	37.2 
2008,18P5-25,M,TOTAL,MT	29.3 	21.3 u	31.9 	33.3 
2008,18P5-25,M,TOTAL,PL	35.8 	41.3 	34 	37.2 
2008,18P5-25,M,TOTAL,RO	41.9 	46.7 	40.5 	38.8 
2008,18P5-25,M,TOTAL,SI	32.9 	34.0 	31.2 	39.2 
2008,18P5-25,M,TOTAL,SK	40.4 	47.3 	38.6 	44.3 
2008,18P5-25,M,TOTAL,TR	46.2 	44.1 	53.6 	42.6 
2008,18P5-25,M,Y18-24,AT	73.9 	71.6 	74.4 	75.9 
2008,18P5-25,M,Y18-24,BE	73.6 	72 	68.9 	80.4 
2008,18P5-25,M,Y18-24,BG	71.4 	79.9 	69.2 	: 
2008,18P5-25,M,Y18-24,CY	66.7 	48.8 	72 	61 u
2008,18P5-25,M,Y18-24,CZ	60.7 	79.9 u	57.2 	: 
2008,18P5-25,M,Y18-24,DE	71.3 	72.8 	70 	: c
2008,18P5-25,M,Y18-24,EE	70.3 	76.2 	67.2 	67.9 u
2008,18P5-25,M,Y18-24,EL	72.7 	76 u	72.9 	: 
